ZONA PORTUARIA;SOCIEDAD PORTUARIA;TIPO DE CARGA;EXPORTACION;IMPORTACIÓN;TRANSBORDO;TRANSITO INTERNACIONAL;FLUVIAL;CABOTAJE;AÑO VIGENCIA;MES VIGENCIA
CARTAGENA;TERMINAL DE CONTENEDORES DE CARTAGENA S. A.;GENERAL;0;84;1888;;;;2018;8
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;11753;0;;;19404;2020;8
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;14;177;24;;;;2020;2
BARRANQUILLA;VOPAK COLOMBIA S.A.;GRANEL LIQUIDO;0;7447;0;;;;2018;12
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL SOLIDO DIFER. DE CARBON;0;124991;0;;;;2020;12
CARTAGENA;SOCIEDAD PORTUARIA DEXTON S.A.;GRANEL LIQUIDO;12952;3694;0;;;;2018;3
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;177239;0;;;;2018;10
G. MORROSQUILLO;OLEODUCTO CENTRAL SA;GRANEL LIQUIDO;1984824;0;0;;;;2018;11
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GRANEL LIQUIDO;0;0;0;;73597;;2019;8
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;0;0;;;27598;2018;8
G. MORROSQUILLO;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;CARBON AL GRANEL;64896;0;0;;;;2018;1
BARRANQUILLA;BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.;GENERAL;0;13227;0;;;85;2019;6
CARTAGENA;ATUNAMAR LIMITADA;GENERAL;0;0;0;;;3249;2020;4
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;CONTENEDORES;53085;70294;256765;;;;2018;1
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;CONTENEDORES;0;67;184;;;994;2018;10
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CARBON AL GRANEL;69262;0;0;;;;2020;6
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL SOLIDO DIFER. DE CARBON;0;205762;0;;;;2018;10
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;GENERAL;0;29772;0;;;1116;2020;8
SAN ANDRES;SAN ANDRES PORT SOCIETY SA;GRANEL SOLIDO DIFER. DE CARBON;0;5350;0;;;;2020;6
